kabu_kota,indeks_kedalaman_kemiskinan_p1,indeks_keparahan_kemiskinan_p2,jum_penduduk_miskin,persen_penduduk_miskin,prop,indeks_pembangunan_gender,kabu_kota_lengkap,level_ppkm_sep_21
Kendal,1.37,0.25,97.49,9.99,JAWA TENGAH,93.19,Kabupaten Kendal,L2
Batang,1.43,0.32,70.57,9.13,JAWA TENGAH,91.47,Kabupaten Batang,L2
Pekalongan,1.42,0.29,91.86,10.19,JAWA TENGAH,92.48,Kabupaten Pekalongan,L2
Pemalang,2.86,0.68,209.03,16.02,JAWA TENGAH,85.83,Kabupaten Pemalang,L2
Tegal,1.08,0.19,117.5,8.14,JAWA TENGAH,86.79,Kabupaten Tegal,L2
Brebes,3.01,0.67,308.78,17.03,JAWA TENGAH,86.36,Kabupaten Brebes,L3
Kota Magelang,1.12,0.24,9.27,7.58,JAWA TENGAH,95.27,Kota Magelang,L3
Kota Surakarta,1.51,0.38,47.03,9.03,JAWA TENGAH,96.84,Kota Surakarta,L3
Kota Salatiga,0.53,0.08,9.69,4.94,JAWA TENGAH,95.18,Kota Salatiga,L3
Kota Semarang,0.68,0.16,79.58,4.34,JAWA TENGAH,95.49,Kota Semarang,L2
Kota Pekalongan,1.28,0.3,22.16,7.17,JAWA TENGAH,95.17,Kota Pekalongan,L2
Kota Tegal,1.38,0.36,19.55,7.8,JAWA TENGAH,93.18,Kota Tegal,L3
Kulon Progo,3.22,0.86,78.06,18.01,D I YOGYAKARTA,95.07,Kabupaten Kulon Progo,L3
Bantul,1.85,0.43,138.66,13.5,D I YOGYAKARTA,95.12,Kabupaten Bantul,L3
Gunung Kidul,2.68,0.63,127.61,17.07,D I YOGYAKARTA,84.73,Kabupaten Gunung Kidul,L3
Sleman,1.37,0.33,99.78,8.12,D I YOGYAKARTA,96.2,Kabupaten Sleman,L3
Kota Yogyakarta,1.19,0.28,31.62,7.27,D I YOGYAKARTA,98.16,Kota Yogyakarta,L3
Pacitan,2.68,0.71,80.82,14.54,JAWA TIMUR,84.87,Kabupaten Pacitan,L3
Ponorogo,1.44,0.31,86.74,9.95,JAWA TIMUR,93.56,Kabupaten Ponorogo,L4
Trenggalek,1.48,0.31,81.06,11.62,JAWA TIMUR,92.93,Kabupaten Trenggalek,L3
Tulungagung,0.72,0.11,76.4,7.33,JAWA TIMUR,95.48,Kabupaten Tulungagung,L3
Blitar,1.35,0.3,108.55,9.33,JAWA TIMUR,92.7,Kabupaten Blitar,L3
Kediri,1.55,0.33,179.93,11.4,JAWA TIMUR,93.07,Kabupaten Kediri,L3
Malang,1.37,0.3,265.56,10.15,JAWA TIMUR,88.68,Kabupaten Malang,L3
Lumajang,1.14,0.21,102.6,9.83,JAWA TIMUR,88.09,Kabupaten Lumajang,L3
Jember,1.42,0.31,247.99,10.09,JAWA TIMUR,84.66,Kabupaten Jember,L2
Banyuwangi,1.3,0.3,130.37,8.06,JAWA TIMUR,86.66,Kabupaten Banyuwangi,L2
Bondowoso,2.16,0.5,110.24,14.17,JAWA TIMUR,90.68,Kabupaten Bondowoso,L2
Situbondo,1.91,0.47,83.74,12.22,JAWA TIMUR,87.06,Kabupaten Situbondo,L3
Probolinggo,3.12,0.78,218.35,18.61,JAWA TIMUR,85.38,Kabupaten Probolinggo,L2
Pasuruan,1.15,0.23,151.43,9.26,JAWA TIMUR,90.48,Kabupaten Pasuruan,L2
Sidoarjo,0.96,0.26,127.05,5.59,JAWA TIMUR,94.13,Kabupaten Sidoarjo,L3
Mojokerto,1.95,0.51,118.8,10.57,JAWA TIMUR,91.1,Kabupaten Mojokerto,L3
Jombang,1.73,0.4,125.94,9.94,JAWA TIMUR,90.15,Kabupaten Jombang,L3
Nganjuk,1.62,0.35,122.73,11.62,JAWA TIMUR,93.26,Kabupaten Nganjuk,L3
Madiun,1.63,0.35,78.3,11.46,JAWA TIMUR,91.79,Kabupaten Madiun,L3
Magetan,1.2,0.21,65.09,10.35,JAWA TIMUR,93.36,Kabupaten Magetan,L4
Ngawi,2.37,0.55,128.19,15.44,JAWA TIMUR,92.19,Kabupaten Ngawi,L3
Bojonegoro,1.72,0.35,161.1,12.87,JAWA TIMUR,90.17,Kabupaten Bojonegoro,L2
