,,,,
Nama Wilayah,Indeks Kedalaman Kemiskinan (P1) Menurut Kabupaten/Kota,Indeks Keparahan Kemiskinan (P2) Menurut Kabupaten/Kota,Jumlah Penduduk Miskin Kab/Kota (Ribu Orang),Persentase Penduduk Miskin Menurut Kabupaten/Kota (Persen)
Seram Bagian Barat,4.46,1.23,43.15,25.11
Seram Bagian Timur,4.44,1.22,26.69,23.04
Maluku Barat Daya,5.46,1.49,21.37,29.15
Buru Selatan,2.14,0.46,10.07,15.75
Kota Ambon,0.41,0.06,22.15,4.51
Kota Tual,3.67,0.83,17.36,22.51
MALUKU UTARA,0.94,0.21,86.37,6.78
Halmahera Barat,0.86,0.13,10.56,8.82
Halmahera Tengah,1.73,0.39,7.70,13.56
Kepulauan Sula,0.88,0.16,8.81,8.35
Halmahera Selatan,0.45,0.08,12.41,5.21
Halmahera Utara,0.38,0.09,8.75,4.45
Halmahera Timur,1.90,0.35,14.97,15.45
Pulau Morotai,1.05,0.37,4.43,6.46
Pulau Taliabu,0.89,0.16,3.89,7.30
Kota Ternate,0.38,0.10,8.18,3.46
Kota Tidore Kepulauan,0.60,0.11,6.66,6.52
PAPUA BARAT,5.79,2.06,208.58,21.37
Fakfak,5.87,1.95,17.72,22.27
Kaimana,2.36,0.59,9.52,15.50
Teluk Wondama,10.04,4.19,10.22,30.91
Teluk Bintuni,8.31,3.15,19.22,29.39
Manokwari,5.87,2.24,35.92,20.14
Sorong Selatan,3.12,0.82,8.71,18.28
Sorong,5.97,1.78,24.89,27.48
Raja Ampat,3.06,0.81,8.32,17.01
Tambrauw,8.99,3.23,4.59,32.80
Maybrat,8.01,2.64,12.80,30.78
Manokwari Selatan,8.61,3.55,7.09,28.88
Pegunungan Arfak,5.53,1.25,10.68,33.81
Kota Sorong,2.81,0.84,38.91,14.99
PAPUA,6.16,2.08,911.37,26.64
Merauke,1.53,0.37,22.89,10.03
Jayawijaya,12.54,5.16,81.71,37.22
Jayapura,2.04,0.53,16.61,12.44
Nabire,9.26,4.73,36.75,24.15
Kepulauan Yapen,6.63,2.24,27.04,26.30
Biak Numfor,6.33,2.43,38.02,24.57
Paniai,6.23,1.45,65.98,36.71
Puncak Jaya,13.41,6.99,46.07,34.74
Mimika,3.59,1.16,31.75,14.26
Boven Digoel,3.54,0.91,13.86,19.41
Mappi,4.99,1.46,26.91,25.04
Asmat,3.54,0.75,25.12,25.49
Yahukimo,7.41,1.93,71.76,37.34
Pegunungan Bintang,4.91,1.10,23.03,30.15
Tolikara,6.70,1.80,44.88,32.04
Sarmi,1.56,0.29,5.70,13.87
Keerom,2.79,0.70,9.42,16.32
Waropen,9.90,4.12,9.44,29.54
Supiori,10.52,3.80,7.78,36.91
Mamberamo Raya,4.12,1.01,6.98,28.38
Nduga *,7.57,2.25,36.54,36.72
Lanny Jaya,13.87,6.51,68.62,38.13
Mamberamo Tengah,9.11,2.84,17.72,36.41
Yalimo,11.47,4.86,20.84,32.82
Puncak,8.61,2.63,42.43,36.96
Dogiyai,5.55,1.86,28.31,28.62
